epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,632.326,0.32261,0.22899,0.80033,0.00549,0.02632,0.00208,0.00082,3.09503,6.32376,3.45102,0.000458,0.000458,0.000458
66,641.284,0.31603,0.23038,0.80193,0.00569,0.02632,0.00214,0.00073,3.08356,6.46278,3.43948,0.000445625,0.000445625,0.000445625
67,650.171,0.3178,0.22663,0.80739,0.00874,0.03947,0.00323,0.00108,3.14751,6.19685,3.4641,0.00043325,0.00043325,0.00043325
68,659.145,0.30354,0.22093,0.79759,0.01034,0.03768,0.00363,0.00108,3.05675,6.00982,3.506,0.000420875,0.000420875,0.000420875
69,667.968,0.299,0.21792,0.79601,0.00766,0.02452,0.00345,0.00079,3.08562,6.0085,3.53698,0.0004085,0.0004085,0.0004085
70,676.55,0.30564,0.22151,0.80116,0.00316,0.064,0.00243,0.0005,3.17031,6.16884,3.47542,0.000396125,0.000396125,0.000396125
71,685.22,0.30521,0.22146,0.81054,0.00234,0.03947,0.00153,0.00027,3.15677,6.26466,3.31485,0.00038375,0.00038375,0.00038375
72,694.127,0.30671,0.22174,0.80748,0.00116,0.02632,0.00089,9e-05,3.18163,6.36215,3.20508,0.000371375,0.000371375,0.000371375
73,702.774,0.29374,0.21423,0.80503,0.00393,0.02632,0.00149,0.00032,3.24125,6.42607,3.32501,0.000359,0.000359,0.000359
74,712.565,0.29057,0.21076,0.79764,0.013,0.02632,0.00338,0.00075,3.1926,6.30148,3.4301,0.000346625,0.000346625,0.000346625
75,725.515,0.28854,0.21005,0.7979,0.27305,0.01316,0.00717,0.00237,3.13222,6.28051,3.54135,0.00033425,0.00033425,0.00033425
76,734.173,0.29402,0.21192,0.80514,0.26904,0.01316,0.00377,0.00137,3.07654,6.31505,3.5053,0.000321875,0.000321875,0.000321875
77,742.532,0.28058,0.20411,0.79933,0.01064,0.01316,0.00264,0.00096,3.12917,6.36289,3.40392,0.0003095,0.0003095,0.0003095
78,751.104,0.27522,0.19954,0.79918,0.01071,0.01316,0.00226,0.00081,3.12432,6.34911,3.38156,0.000297125,0.000297125,0.000297125
79,759.813,0.29408,0.2104,0.80259,0.27026,0.01316,0.00351,0.00115,3.12681,6.33482,3.42087,0.00028475,0.00028475,0.00028475
80,768.638,0.29352,0.20996,0.79954,0.27222,0.01316,0.00307,0.00073,3.09463,6.37656,3.43973,0.000272375,0.000272375,0.000272375
81,777.045,0.27915,0.20197,0.80085,0.29273,0.01316,0.00389,0.00089,3.06388,6.35933,3.39032,0.00026,0.00026,0.00026
